Positive,Region Score,Region Rarity,FG Pixel Avg,FG Rarity,Size,Region Active
0,25,45.24,61,45.24,4,False
1,788,66.52,21,50.0,945,True
0,400,50.58,41,2.38,864,False
0,25,25.0,61,45.24,15,False
0,775,16.7,31,26.19,91,False
0,350,7.63,39,7.14,270,False
1,775,65.43,9,78.57,65,True
0,25,25.25,53,26.19,697,False
0,612,13.99,23,45.24,45,False
0,350,14.02,39,7.14,171,False
0,350,12.5,39,7.14,39,False
0,775,66.59,9,78.57,48,True
0,742,28.87,38,33.33,168,False
0,582,28.48,40,29.82,1000,False
0,814,10.07,49,14.04,432,False
0,28,37.47,4,92.98,75,False
0,114,66.18,4,92.98,1452,True
0,800,42.11,33,42.11,4,False
0,28,91.03,4,92.98,28,True
0,28,68.77,4,92.98,55,False
0,28,91.48,4,92.98,195,False
0,829,85.57,10,76.19,119,True
0,24,80.15,12,71.43,288,True
0,24,97.24,12,71.43,80,False
0,806,7.32,38,7.32,4,False
0,258,70.23,1,97.56,720,True
0,645,64.75,46,12.2,96,False
0,401,66.22,1,97.56,684,False
0,32,26.9,17,58.54,351,False
0,935,34.32,28,31.71,200,False
1,20,55.95,2,95.24,2625,True
0,520,73.56,10,76.19,735,True
0,520,63.16,10,76.19,441,False
0,20,34.2,2,95.24,567,False
0,854,30.95,55,30.95,4,False
0,131,35.26,18,57.14,162,False
0,973,9.58,34,19.05,64,False
0,236,56.24,23,45.24,330,False
0,236,29.76,23,45.24,15,False
0,842,57.9,2,95.24,46,True
0,236,57.62,23,45.24,30,False
0,26,23.99,18,57.14,28,False
0,500,46.63,31,26.19,616,False
1,318,74.12,2,95.24,1680,True
0,26,44.05,18,57.14,65,False
0,26,33.9,18,57.14,117,False
0,595,95.12,2,95.12,4,True
1,595,53.17,2,95.12,33,True
0,976,37.07,34,17.07,192,False
0,595,64.51,2,95.12,55,True
0,595,44.27,2,95.12,55,False
0,225,55.03,22,47.62,1120,0
0,867,24.17,32,23.81,33,0
0,29,38.0,30,28.57,323,0
0,794,68.66,8,80.95,108,0
0,29,34.18,30,28.57,225,0
0,509,23.65,30,28.57,100,0
0,647,82.56,9,78.57,341,0
0,29,25.46,30,28.57,28,0
0,735,66.91,2,95.24,204,0
0,686,79.92,4,90.48,527,1
0,323,20.54,18,57.14,180,0
0,941,95.33,10,76.19,180,1
0,647,53.49,9,78.57,120,0
0,593,30.26,17,59.52,592,0
0,29,23.18,30,28.57,405,0
0,431,26.9,2,95.24,2849,1
0,376,19.4,23,45.24,120,0
0,323,22.63,22,47.62,1344,0
0,411,28.24,22,47.62,285,0
0,235,7.14,39,7.14,4,0
0,323,22.42,23,45.24,65,0
0,235,11.45,39,7.14,32,0
0,41,51.13,24,42.86,55,0
0,41,57.74,24,42.86,861,0
0,41,60.29,24,42.86,385,0
0,41,52.59,24,42.86,264,0
0,234,46.53,2,95.24,252,0
0,409,56.69,6,85.71,760,0
0,28,25.77,23,45.24,45,0
0,371,44.05,2,95.24,15,0
0,131,35.26,18,57.14,162,0
0,973,9.58,34,19.05,64,0
0,236,56.24,23,45.24,330,0
0,236,29.76,23,45.24,15,0
0,842,57.9,2,95.24,46,1
0,236,57.62,23,45.24,30,0
0,26,23.99,18,57.14,28,0
0,500,46.63,31,26.19,616,0
1,318,74.12,2,95.24,1680,1
0,26,44.05,18,57.14,65,0
0,26,33.9,18,57.14,117,0
0,595,95.12,2,95.12,4,0
1,595,53.17,2,95.12,33,0
0,976,37.07,34,17.07,192,0
0,595,64.51,2,95.12,55,0
0,595,44.27,2,95.12,55,0
0,22,33.82,32,23.81,380,0
0,755,90.73,44,4.76,253,0
0,977,66.67,7,83.33,30,1
0,811,40.07,34,19.05,210,0
1,20,55.95,2,95.24,2625,1
0,520,73.56,10,76.19,735,0
0,520,63.16,10,76.19,441,0
0,20,34.2,2,95.24,567,0
0,854,30.95,55,30.95,4,0
